,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__alpha,param_poly_feats__grade,params,split0_test_r2,split1_test_r2,split2_test_r2,split3_test_r2,split4_test_r2,split5_test_r2,split6_test_r2,split7_test_r2,split8_test_r2,split9_test_r2,mean_test_r2,std_test_r2,rank_test_r2,split0_train_r2,split1_train_r2,split2_train_r2,split3_train_r2,split4_train_r2,split5_train_r2,split6_train_r2,split7_train_r2,split8_train_r2,split9_train_r2,mean_train_r2,std_train_r2,split0_test_explained_variance,split1_test_explained_variance,split2_test_explained_variance,split3_test_explained_variance,split4_test_explained_variance,split5_test_explained_variance,split6_test_explained_variance,split7_test_explained_variance,split8_test_explained_variance,split9_test_explained_variance,mean_test_explained_variance,std_test_explained_variance,rank_test_explained_variance,split0_train_explained_variance,split1_train_explained_variance,split2_train_explained_variance,split3_train_explained_variance,split4_train_explained_variance,split5_train_explained_variance,split6_train_explained_variance,split7_train_explained_variance,split8_train_explained_variance,split9_train_explained_variance,mean_train_explained_variance,std_train_explained_variance
0,0.0986246109008789,0.061005284839454964,0.05535101890563965,0.030587668469952107,0.01,1,"{'clf__alpha': 0.01, 'poly_feats__grade': 1}",0.8803251653879771,0.8269512075100627,0.8586577350797076,0.8920715076111001,0.911110504744737,0.8312579444460322,0.85178192074267,0.8674511444102995,0.8760315668656354,0.8880935857513143,0.8683732282549534,0.02538171649736669,24,0.8726368201648472,0.8786013539411516,0.8749461283254226,0.8706770656330515,0.8691361897914658,0.8777039258865139,0.8751418872057461,0.8739907451903497,0.8728616269692443,0.8716992964539206,0.8737395039561713,0.0028206032298978365,0.8812444256421322,0.8300198269104364,0.8590422083030875,0.8970029147035424,0.914579648900899,0.8361728463070295,0.8517849791789439,0.8734087446740065,0.8764582886547947,0.8880941238030392,0.8707808007077911,0.025322164614438984,24,0.8726368201648472,0.8786013539411516,0.8749461283254227,0.8706770656330515,0.8691361897914658,0.877703925886514,0.8751418872057461,0.8739907451903497,0.8728616269692443,0.8716992964539205,0.8737395039561713,0.002820603229897865
1,0.13042607307434081,0.03825600824324471,0.0729146957397461,0.022378262768504166,0.01,2,"{'clf__alpha': 0.01, 'poly_feats__grade': 2}",0.9019546652266603,0.8423974805899794,0.8762003846750217,0.9025851669107016,0.906964657171005,0.8583195570917087,0.8801506485319373,0.889478197973142,0.8945536239654848,0.9024222367617085,0.8855026618897349,0.02029593234676583,12,0.8892387511451068,0.895303696300779,0.8920611530385989,0.8886661260324237,0.8883953356307666,0.8940381459982911,0.8910934468393518,0.8902753032142117,0.8901033172178752,0.8892202182522418,0.8908395493669646,0.0022013531565257954,0.9020954696402668,0.8459128872700721,0.8763117289650102,0.9082734456750844,0.9098904601230324,0.8609622929564834,0.8802349657136095,0.893981201054629,0.8949677766656732,0.9029439470220308,0.8875574175085893,0.0202332613371796,12,0.8892387511451068,0.895303696300779,0.8920611530385989,0.8886661260324237,0.8883953356307666,0.8940381459982911,0.8910934468393518,0.8902753032142117,0.8901033172178752,0.8892202182522418,0.8908395493669646,0.0022013531565257954
2,0.12009828090667725,0.04190201133817482,0.0572249174118042,0.025559612474462996,0.01,3,"{'clf__alpha': 0.01, 'poly_feats__grade': 3}",0.9181852545372238,0.8788521050759956,0.9095717021632838,0.9300396891129584,0.9308774582333028,0.9036229771743641,0.8956759298303171,0.8886827937412893,0.9035753652392442,0.9275218326115064,0.9086605107719486,0.01704537331968831,1,0.91351864471128,0.9168686413886706,0.9142760307072791,0.9115787449366201,0.9118086280893462,0.914833998644773,0.9151465855980487,0.9156232786237191,0.9152946856069771,0.9124521049521214,0.9141401343258835,0.0016650118794018117,0.9185737740737239,0.8811179131167564,0.909590873426907,0.9349799912113551,0.9341046697567712,0.905798593439006,0.8957705399964601,0.8912564499013201,0.903620858835236,0.9278151896631048,0.910262885342064,0.01744052852192322,1,0.91351864471128,0.9168686413886706,0.9142760307072793,0.9115787449366201,0.9118086280893462,0.914833998644773,0.9151465855980487,0.9156232786237191,0.9152946856069771,0.9124521049521215,0.9141401343258835,0.0016650118794018013
3,0.08566052913665771,0.03575698336211345,0.05108122825622559,0.02401330229534866,0.03,1,"{'clf__alpha': 0.03, 'poly_feats__grade': 1}",0.8803266455125915,0.826951618922011,0.8586543892895376,0.8920739738470463,0.9111126127448544,0.8312635297085643,0.8517821417095626,0.8674501249942197,0.8760278424229135,0.8880958330741453,0.8683738712225444,0.025381667234973492,23,0.8726368162873466,0.878601350213032,0.8749461247572217,0.8706770615203485,0.8691361852645629,0.8777039218637351,0.8751418840363715,0.8739907412479696,0.8728616233692914,0.8716992924142938,0.8737395000974173,0.0028206034176984566,0.8812459725307771,0.8300205328786645,0.8590387432886254,0.8970065810586639,0.9145810808373015,0.8361792793939002,0.8517851885314337,0.8734069647967958,0.8764544356933449,0.8880963642108791,0.8707815143220388,0.02532205644681424,23,0.8726368162873466,0.878601350213032,0.8749461247572216,0.8706770615203485,0.8691361852645629,0.8777039218637351,0.8751418840363715,0.8739907412479695,0.8728616233692914,0.8716992924142938,0.8737395000974173,0.0028206034176984514
4,0.118613600730896,0.03259040267179922,0.07453863620758057,0.014526017819567916,0.03,2,"{'clf__alpha': 0.03, 'poly_feats__grade': 2}",0.9019640563045614,0.842745003534976,0.8761745543096765,0.9025644939273518,0.9070054098885955,0.8584567491376631,0.8801244732311136,0.8895389834883448,0.8944872458053548,0.9024294097425938,0.8855490379370232,0.02020791172929932,11,0.8892369632744008,0.8952996439728436,0.8920605204204596,0.8886655058145125,0.8883947379319221,0.8940341261174912,0.8910932198190471,0.8902742313601877,0.8901025091073005,0.8892199993236285,0.8908381457141795,0.002200237929376965,0.9021065934319505,0.8462448594424097,0.8762862664443342,0.9082486031877538,0.9099375071758272,0.8610865633179124,0.8802096607897816,0.8940403543984127,0.8949051342316591,0.9029494026279166,0.8876014945047958,0.0201545162157203,11,0.8892369632744008,0.8952996439728436,0.8920605204204596,0.8886655058145125,0.8883947379319221,0.8940341261174912,0.8910932198190471,0.8902742313601877,0.8901025091073005,0.8892199993236285,0.8908381457141795,0.002200237929376965
5,0.11716783046722412,0.0397858208769006,0.06272692680358886,0.024151531470224266,0.03,3,"{'clf__alpha': 0.03, 'poly_feats__grade': 3}",0.9181159583512828,0.8753333544221295,0.9077389770797057,0.928611581406275,0.9296942193768839,0.9008000535265089,0.8958899927740336,0.8898901014049609,0.9037038451726056,0.9265314711609408,0.9076309554675326,0.017181260967859314,2,0.9122283427602365,0.915912502289485,0.9130513670322543,0.9103092866886496,0.910565830664183,0.9136732838859662,0.9139423438692214,0.9143798358519608,0.9140411504363789,0.9112269353005276,0.9129330878778863,0.001722618123943733,0.9184847839810402,0.8777604648944369,0.9077531851724295,0.9334005936179124,0.9327275725109482,0.9029761276893551,0.8959507184901854,0.8925694127621937,0.9037101347710205,0.9266422432713391,0.9091975237160861,0.017438999805837446,2,0.9122283427602365,0.915912502289485,0.9130513670322543,0.9103092866886496,0.910565830664183,0.9136732838859662,0.9139423438692212,0.9143798358519608,0.9140411504363789,0.9112269353005276,0.9129330878778863,0.0017226181239437266
6,0.10619807243347168,0.030697461711431524,0.039847183227539065,0.01513585410525462,0.1,1,"{'clf__alpha': 0.1, 'poly_feats__grade': 1}",0.8803317916892575,0.8269530363967159,0.8586426693514867,0.8920825587738026,0.9111198811964473,0.8312830292301936,0.8517829335223721,0.8674465008373236,0.8760147999045866,0.8881036427819048,0.8683760843684092,0.025381478208994522,22,0.8726367723413644,0.8786013079479323,0.874946084301777,0.8706770149219832,0.8691361339926366,0.8777038762636613,0.8751418480962333,0.8739906965733035,0.8728615825641337,0.8716992466456315,0.8737394563648657,0.0028206055335037,0.8812513522463988,0.8300229790248833,0.8590266059314072,0.8970193557708094,0.9145859920473469,0.8362017376388314,0.851785939912082,0.873400681460814,0.8764409446062469,0.8881041501542856,0.8707839738793106,0.025321662290678285,22,0.8726367723413644,0.8786013079479323,0.874946084301777,0.8706770149219832,0.8691361339926366,0.8777038762636613,0.8751418480962333,0.8739906965733035,0.8728615825641338,0.8716992466456315,0.8737394563648657,0.0028206055335036964
7,0.11490957736968994,0.04179899588550244,0.04218299388885498,0.015722111570964894,0.1,2,"{'clf__alpha': 0.1, 'poly_feats__grade': 2}",0.9019677573178463,0.8435660685198035,0.876110473579793,0.9025153937579498,0.9071610722902441,0.8587585431008311,0.880049563256793,0.8896670003522752,0.8943109752147518,0.9024768936529395,0.8856583741043228,0.02001075853846868,10,0.8892246826147097,0.8952730727761788,0.8920556746786319,0.88866081475049,0.8883899757217129,0.8940079047026682,0.8910910751379744,0.8902666607910334,0.8900966238983492,0.8892177338311296,0.8908284218902878,0.002193196492287484,0.9021153468904093,0.84703171164063,0.8762226421469776,0.9081809580602441,0.9101070356174776,0.8613569765675241,0.8801368186785887,0.894168774090243,0.8947383794737304,0.9029905803538182,0.8877049223519643,0.01997830963805211,10,0.8892246826147097,0.8952730727761788,0.8920556746786319,0.88866081475049,0.8883899757217129,0.8940079047026682,0.8910910751379743,0.8902666607910334,0.8900966238983493,0.8892177338311296,0.8908284218902878,0.0021931964922874787
8,0.11404094696044922,0.025098352570660877,0.0614088773727417,0.022052555937729045,0.1,3,"{'clf__alpha': 0.1, 'poly_feats__grade': 3}",0.9161924126953386,0.8683410510114853,0.9021088679069016,0.9236024501189909,0.9257313526120958,0.8926866442024947,0.8951690523235055,0.8916871540614818,0.9028490519856649,0.9226439097651662,0.9041011946683125,0.017282075015278956,3,0.908367279554914,0.912447054999,0.9093771198485363,0.9066858936787462,0.9068259875969432,0.9101305800598504,0.9100806852530814,0.9104132684809131,0.9101523323992697,0.9075520920767125,0.9092032293947968,0.0017309207328287713,0.916493900356333,0.8710709721620686,0.9021126806959362,0.9285783374136143,0.9285095240475038,0.8949270672143809,0.8951964073320948,0.8946986270698695,0.9028620349550237,0.9226449036115689,0.9057094454858395,0.017363277575651453,3,0.908367279554914,0.912447054999,0.9093771198485363,0.9066858936787462,0.9068259875969432,0.9101305800598504,0.9100806852530814,0.9104132684809131,0.9101523323992698,0.9075520920767125,0.9092032293947968,0.0017309207328287776
9,0.11294314861297608,0.04119746885192679,0.061279916763305665,0.03318851988147998,0.3,1,"{'clf__alpha': 0.3, 'poly_feats__grade': 1}",0.8803462052054467,0.8269568955758206,0.8586091014878287,0.8921066914817141,0.9111397241918466,0.8313383271080081,0.8517853513246032,0.8674356717188765,0.8759774774299025,0.8881254844042189,0.8683820929928265,0.02538079870999012,21,0.8726363900820282,0.8786009400028522,0.8749457320280434,0.8706766099250071,0.8691356888705366,0.8777034794262689,0.8751415349733435,0.8739903081435423,0.8728612275042511,0.8716988489037831,0.8737390759859658,0.0028206236187025657,0.8812664318657711,0.8300297579294612,0.8589918443305002,0.8970553691619537,0.9145991761312182,0.8362654154313094,0.8517882440504149,0.8733822753490539,0.8764023510903242,0.8881259275549276,0.8707906792894934,0.025320405586460534,21,0.8726363900820282,0.8786009400028522,0.8749457320280434,0.8706766099250071,0.8691356888705366,0.8777034794262689,0.8751415349733435,0.8739903081435423,0.8728612275042511,0.871698848903783,0.8737390759859656,0.0028206236187025735
10,0.10597195625305175,0.03708412134688743,0.05711929798126221,0.027773024261371508,0.3,2,"{'clf__alpha': 0.3, 'poly_feats__grade': 2}",0.9018865313469984,0.8445296801333845,0.8760226832235715,0.9024634994679046,0.9076373387816337,0.8590476394167514,0.8798925276613419,0.8897296010093264,0.8940149147181364,0.9026772944694501,0.8857901710228497,0.019825511373595336,9,0.8891822930010935,0.8951943158910846,0.8920326816889506,0.8886391428882824,0.8883654077643901,0.8939294018478405,0.8910763184758077,0.8902376745755783,0.8900712738513108,0.8892004100996419,0.8907928920083981,0.0021752695732743603,0.9020446942491481,0.8479692552435452,0.8761331635142948,0.9080637516542889,0.9105931134002453,0.8616056005635602,0.8799820817991042,0.8942538463209437,0.894456527899194,0.9031724704714844,0.8878274505115811,0.019812101052645706,9,0.8891822930010935,0.8951943158910846,0.8920326816889507,0.8886391428882824,0.8883654077643901,0.8939294018478405,0.8910763184758077,0.8902376745755783,0.8900712738513108,0.8892004100996419,0.8907928920083981,0.0021752695732743664
11,0.11306390762329102,0.03448308945170834,0.06507582664489746,0.017560262632588225,0.3,3,"{'clf__alpha': 0.3, 'poly_feats__grade': 3}",0.9120648886511745,0.8597116543469326,0.8936012900341554,0.9163243275157904,0.9195009014629589,0.881142205250173,0.8915932344813206,0.8920747448594879,0.9006505597391458,0.9161103080992699,0.8982774114440407,0.017820820939607008,4,0.9022097639835625,0.9068372357737161,0.9036807852948489,0.9009573706216999,0.9008644143899679,0.9048131509336701,0.9038062028763938,0.903895975102431,0.9038378318906909,0.9016969145972039,0.9032599645464187,0.0017609602379883237,0.912294861873161,0.862720655597786,0.8936030134085494,0.9216299604684742,0.9221839471020795,0.8835036564688901,0.8916134386107527,0.8955460579024679,0.9007486031884374,0.9162387936896867,0.9000082988310284,0.01779993478766136,4,0.9022097639835625,0.9068372357737161,0.9036807852948489,0.9009573706216999,0.9008644143899679,0.9048131509336701,0.9038062028763938,0.9038959751024309,0.9038378318906909,0.9016969145972039,0.9032599645464184,0.0017609602379883196
