cluster,authors,frequent words
0,"{'Nathaniel Hawthorne': 4, 'Bret Harte': 5, 'Joseph Conrad': 13, 'Robert Louis Stevenson': 1, 'Zane Grey': 18, 'Edward Phillips Oppenheim': 19, 'Edward Stratemeyer': 3, 'Andrew Lang': 7, 'Mark Twain': 1, 'Harold Bindloss': 18, 'James Fenimore Cooper': 15, 'Henry Rider Haggard': 17, 'Daniel Defoe': 4, 'Sir Walter Scott': 14, 'William Dean Howells': 8, 'Louisa May Alcott': 2, 'Charles Kingsley': 1, 'Jack London': 14}","[('say', 76456), ('come', 41175), ('know', 39067), ('man', 36175), ('make', 35992), ('see', 30934), ('look', 28795), ('think', 27990), ('take', 27614), ('time', 26111), ('get', 26005), ('hand', 22492), ('tell', 20880), ('give', 19409), ('seem', 19132), ('eye', 18931), ('find', 18344), ('men', 17623), ('thing', 17345), ('face', 16978)]"
1,{'Daniel Defoe': 9},"[('make', 3999), ('come', 3804), ('say', 3089), ('take', 2447), ('find', 2163), ('men', 1998), ('time', 1993), ('ship', 1927), ('give', 1850), ('see', 1791), ('thing', 1745), ('know', 1666), ('day', 1533), ('tell', 1512), ('way', 1491), ('place', 1432), ('think', 1427), ('shore', 1362), ('get', 1351), ('man', 1311)]"
2,{'Edmund Burke': 13},"[('make', 3030), ('power', 2283), ('part', 2099), ('people', 2061), ('men', 1987), ('state', 1960), ('time', 1944), ('principle', 1733), ('government', 1699), ('give', 1669), ('law', 1643), ('take', 1555), ('country', 1551), ('say', 1515), ('think', 1491), ('thing', 1486), ('act', 1418), ('man', 1366), ('king', 1332), ('france', 1289)]"
3,"{'Andrew Lang': 2, 'Sir Walter Scott': 1}","[('say', 709), ('come', 596), ('make', 566), ('see', 518), ('man', 478), ('james', 472), ('day', 466), ('take', 449), ('king', 443), ('mr.', 425), ('men', 379), ('know', 379), ('give', 377), ('time', 365), ('scotland', 361), ('think', 337), ('lord', 334), ('sir', 321), ('house', 298), ('write', 298)]"
4,"{'Andrew Lang': 1, 'Lord Byron': 7}","[('byron', 2331), ('footnote', 2210), ('lord', 1855), ('say', 1382), ('see', 1326), ('mr.', 1073), ('write', 1020), ('know', 996), ('make', 957), ('letter', 934), ('iii', 888), ('vol', 849), ('time', 825), ('john', 791), ('line', 780), ('_vi', 764), ('_ii', 751), ('_iv', 736), ('give', 725), ('think', 698)]"
5,{'Edward Stratemeyer': 6},"[('dave', 3534), ('say', 2993), ('come', 2837), ('get', 2108), ('know', 1689), ('take', 1509), ('make', 1502), ('think', 1382), ('see', 1312), ('time', 1124), ('boy', 1103), ('man', 1102), ('answer', 1079), ('look', 1054), ('tell', 1036), ('cry', 1010), ('find', 940), ('want', 906), ('roger', 901), ('phil', 867)]"
6,"{'James Fenimore Cooper': 2, 'Sir Walter Scott': 4}","[('say', 2582), ('make', 957), ('know', 909), ('time', 841), ('man', 806), ('thou', 769), ('lord', 769), ('think', 731), ('give', 730), ('see', 725), ('come', 693), ('eye', 687), ('take', 668), ('lady', 666), ('hand', 663), ('king', 600), ('answer', 559), ('look', 544), ('hath', 540), ('seem', 527)]"
7,"{'Mark Twain': 1, 'Louisa May Alcott': 2}","[('say', 1791), ('tom', 1451), ('polly', 1252), ('come', 1027), ('get', 978), ('make', 858), ('know', 853), ('look', 773), ('see', 763), ('think', 702), ('take', 683), ('time', 626), ('girl', 613), ('tell', 570), ('thing', 560), ('find', 494), ('give', 484), ('way', 428), ('face', 422), ('eye', 409)]"
8,"{'Bret Harte': 15, 'Joseph Conrad': 1, 'Robert Louis Stevenson': 4, 'Edward Phillips Oppenheim': 1, 'Andrew Lang': 5, 'Mark Twain': 5, 'Harold Bindloss': 1, 'Henry Rider Haggard': 1, 'Daniel Defoe': 4, 'William Dean Howells': 4, 'Louisa May Alcott': 15, 'Charles Kingsley': 1, 'Jack London': 3}","[('say', 34257), ('come', 17519), ('know', 15028), ('make', 14047), ('see', 13605), ('take', 12109), ('get', 11960), ('look', 11873), ('man', 10598), ('think', 10479), ('time', 9968), ('tell', 9280), ('give', 8836), ('hand', 8341), ('find', 8024), ('thing', 7828), ('day', 7506), ('way', 7047), ('eye', 6996), ('seem', 6748)]"
9,{'Charles Kingsley': 3},"[('say', 1353), ('amyas', 1097), ('man', 739), ('sir', 733), ('come', 685), ('know', 671), ('see', 551), ('men', 548), ('make', 528), ('take', 507), ('day', 473), ('god', 446), ('find', 420), ('look', 393), ('mr.', 392), ('tell', 381), ('give', 368), ('hand', 367), ('frank', 346), ('time', 336)]"
10,{'Andrew Lang': 5},"[('say', 1671), ('mr.', 1324), ('myth', 1177), ('god', 1050), ('find', 869), ('make', 808), ('name', 779), ('savage', 774), ('see', 758), ('man', 732), ('men', 725), ('know', 712), ('come', 704), ('give', 559), ('people', 503), ('take', 489), ('call', 484), ('time', 481), ('stone', 453), ('muller', 453)]"
11,"{'Lord Byron': 12, 'James Fenimore Cooper': 2, 'Henry Rider Haggard': 1, 'Sir Walter Scott': 1, 'Louisa May Alcott': 1}","[('thou', 3409), ('say', 2783), ('see', 2747), ('know', 2439), ('make', 2418), ('thee', 2415), ('love', 2262), ('come', 2020), ('time', 1752), ('heart', 1745), ('eye', 1539), ('man', 1538), ('life', 1505), ('take', 1477), ('day', 1476), ('line', 1431), ('give', 1382), ('look', 1335), ('think', 1315), ('leave', 1295)]"
12,{'Charles Kingsley': 10},"[('god', 6445), ('say', 3552), ('man', 3508), ('make', 2335), ('come', 2116), ('see', 2115), ('life', 2111), ('know', 2078), ('men', 1993), ('day', 1791), ('lord', 1740), ('christ', 1692), ('world', 1650), ('give', 1648), ('love', 1604), ('thing', 1580), ('spirit', 1377), ('find', 1350), ('time', 1241), ('heart', 1241)]"
13,{'Zane Grey': 2},"[('neale', 1464), ('allie', 696), ('say', 661), ('come', 534), ('helen', 475), ('see', 455), ('men', 432), ('get', 422), ('reply', 407), ('make', 405), ('face', 394), ('dale', 384), ('eye', 378), ('look', 368), ('larry', 359), ('hand', 336), ('man', 321), ('take', 311), ('know', 300), ('seem', 298)]"
14,{'Robert Louis Stevenson': 2},"[('say', 1471), ('otto', 708), ('man', 605), ('prince', 603), ('cry', 498), ('come', 421), ('john', 388), ('take', 357), ('see', 356), ('know', 352), ('hand', 347), ('sir', 342), ('think', 319), ('return', 308), ('look', 303), ('make', 267), ('ask', 260), ('begin', 257), ('time', 240), ('reply', 238)]"
15,"{'Edward Stratemeyer': 11, 'Harold Bindloss': 1}","[('say', 7278), ('come', 5740), ('dick', 5469), ('get', 4802), ('tom', 4320), ('know', 3499), ('boy', 3053), ('take', 3040), ('make', 2933), ('sam', 2878), ('think', 2783), ('see', 2722), ('answer', 2557), ('rover', 2318), ('look', 2317), ('time', 2216), ('want', 2168), ('cry', 2059), ('man', 1957), ('tell', 1901)]"
16,{'Edmund Burke': 7},"[('say', 3519), ('hastings', 2588), ('mr.', 2273), ('make', 1668), ('company', 1396), ('give', 1249), ('country', 1243), ('nabob', 1215), ('lordships', 1153), ('court', 1082), ('power', 1072), ('act', 1036), ('take', 1028), ('government', 1023), ('time', 1005), ('order', 991), ('law', 982), ('person', 944), ('state', 920), ('know', 891)]"
17,"{'Nathaniel Hawthorne': 16, 'Joseph Conrad': 6, 'Robert Louis Stevenson': 11, 'Mark Twain': 13, 'Lord Byron': 1, 'James Fenimore Cooper': 1, 'Henry Rider Haggard': 1, 'Daniel Defoe': 3, 'William Dean Howells': 6, 'Charles Kingsley': 5, 'Jack London': 3}","[('say', 18966), ('make', 14408), ('come', 13170), ('man', 12799), ('know', 11613), ('see', 11167), ('time', 11163), ('take', 9735), ('day', 9025), ('look', 8865), ('think', 8428), ('get', 8032), ('find', 7569), ('thing', 7371), ('give', 7107), ('seem', 6996), ('life', 6929), ('year', 6588), ('hand', 6467), ('men', 6255)]"
18,{'Robert Louis Stevenson': 2},"[('rock', 754), ('work', 413), ('boat', 399), ('sea', 366), ('make', 359), ('day', 343), ('time', 321), ('artificer', 311), ('take', 298), ('come', 292), ('see', 288), ('man', 288), ('get', 285), ('writer', 284), ('beacon', 274), ('say', 273), ('land', 267), ('board', 261), ('find', 258), ('leave', 249)]"
19,{'William Dean Howells': 2},"[('say', 934), ('march', 918), ('come', 577), ('know', 550), ('make', 477), ('get', 475), ('think', 474), ('see', 413), ('time', 409), ('burnamy', 387), ('take', 366), ('mrs.', 353), ('look', 353), ('find', 337), ('seem', 323), ('give', 278), ('thing', 273), ('leave', 249), ('way', 249), ('kenby', 239)]"
